country,name,full_name,isin,currency,symbol
indonesia,Benakat Integra,Benakat Integra Tbk,ID1000114101,IDR,BIPI
indonesia,Berlina,Berlina Tbk,ID1000125602,IDR,BRNA
indonesia,Betonjaya Manunggal,Betonjaya Manunggal Tbk,ID1000071509,IDR,BTON
indonesia,BFI Finance,BFI Finance Indonesia Tbk,ID1000124001,IDR,BFIN
indonesia,Bhuwanatala Indah,Bhuwanatala Indah Permai Tbk,ID1000076508,IDR,BIPP
indonesia,Bisi International,Bisi International Tbk,ID1000105703,IDR,BISI
indonesia,Bank Central Asia,Bank Central Asia Tbk,ID1000109507,IDR,BBCA
indonesia,Borneo Lumbung,Borneo Lumbung Energi & Metal,ID1000117401,IDR,BORN
indonesia,Bank Rakyat,Bank Rakyat Indonesia Agroniaga,ID1000095508,IDR,AGRO
indonesia,Buana Listya Tama,Buana Listya Tama Tbk PT,ID1000133705,IDR,BULL
indonesia,Budi Starch & Sweetener,Budi Starch & Sweetener Tbk,ID1000084908,IDR,BUDI
indonesia,Bukit Darmo,Bukit Darmo Property Tbk,ID1000106008,IDR,BKDP
indonesia,Bukit Uluwatu Villa,Bukit Uluwatu Villa Tbk,ID1000116007,IDR,BUVA
indonesia,Bumi Citra Permai,Bumi Citra Permai Tbk,ID1000113509,IDR,BCIP
indonesia,Bumi Resources Min,Bumi Resources Minerals Tbk,ID1000117609,IDR,BRMS
indonesia,Bumi Resources,Bumi Resources Tbk,ID1000068703,IDR,BUMI
indonesia,Bumi Serpong Damai,Bumi Serpong Damai Tbk,ID1000110802,IDR,BSDE
indonesia,Bumi Teknokultura,Bumi Teknokultura Unggul Tbk,ID1000098106,IDR,BTEK
indonesia,Eagle High,Eagle High Plantations Tbk,ID1000113202,IDR,BWPT
indonesia,Capitalinc Inv,Capitalinc Investment Tbk,ID1000120405,IDR,MTFN
indonesia,Capitol Nusantara,Capitol Nusantara Indonesia,ID1000130503,IDR,CANI
indonesia,Cardig Aero,Cardig Aero Services Tbk,ID1000121403,IDR,CASS
indonesia,Catur Sentosa,Catur Sentosa Adiprana Tbk,ID1000108301,IDR,CSAP
indonesia,Central Proteina,Central Proteina Prima Tbk,ID1000105000,IDR,CPRO
indonesia,Centratama Telekom,Centratama Telekomunikasi Ind,ID1000076805,IDR,CENT
indonesia,Rimau Multi,Rimau Multi Putra Pratama,ID1000132608,IDR,CMPP
indonesia,Champion Pacific,Champion Pacific Indonesia Tbk,ID1000059306,IDR,IGAR
indonesia,Chandra Asri Petro,Chandra Asri Petrochemical Tbk,ID1000090301,IDR,TPIA
indonesia,Charoen Pokphand Indonesia,Charoen Pokphand Indonesia TBK PT,ID1000117708,IDR,CPIN
indonesia,Ciputra Dev,Ciputra Development Tbk,ID1000115306,IDR,CTRA
indonesia,Citatah,Citatah Tbk,ID1000070105,IDR,CTTH
